date,benefits_order,sales_order,department_percentage,department_list,benefits,sales,customer_region,total,region_percentage,order_item_total,order_item_profit_ratio,department_list.1,customer_segment,customer_segment_total
2017-01-01,9125,3146400146,0.155,Sports A,38.97,39.88,Pacific Asia,341.0,0.341,39.88,12.92,Sports A,Consumer,60.0
2017-01-01,-2490899963,3113599854,0.134,Sports B,19.71,52.67,Africa,101.0,0.101,52.67,13.2,,Corporate,66.0
2017-01-02,-2477799988,3097200012,0.417,Men's & Children's,109.1,90.37,Europe,343.0,0.343,90.37,37.76,,Home Office,29.0
2017-01-02,2286000061,3048099976,0.222,Women's,65.65,24.73,LATAM,179.0,0.179,24.73,30.8,Sports B,Consumer,111.0
2017-01-02,1342100067,29825,0.07,Others,16.03,25.67,USCA,36.0,0.036,25.67,12.55,,Corporate,0.0
2017-01-02,1857999992,294980011,,,,,,1000.0,,,,,Home Office,23.0
2017-01-02,9518000031,2884200134,,,,,,,,,,Men's & Children's,Consumer,238.0
2017-01-02,6843000031,2851400146,,,,,,,,,,,Corporate,140.0
2017-01-02,1337200012,2785899963,,,,,,,,,,,Home Office,39.0
2017-01-03,1321499939,2753099976,,,,,,,,,,Women's,Consumer,128.0
2017-01-03,1305800018,2720299988,,,,,,,,,,,Corporate,35.0
2017-01-03,4568999863,2687600098,,,,,,,,,,,Home Office,59.0
2017-01-03,2176000023,2622000122,,,,,,,,,,Others,Consumer,57.0
2017-01-03,2457999992,2458099976,,,,,,,,,,,Corporate,4.0
2017-01-04,1638999939,32775,,,,,,,,,,,Home Office,4.0
2017-01-04,-2595799866,3244700012,,,,,,,,,,,,
2017-01-06,-2463600006,3212000122,,,,,,,,,,,,
2017-01-06,2384000015,3179200134,,,,,,,,,,,,
2017-01-07,1022600021,3146400146,,,,,,,,,,,,
2017-01-07,8718000031,3113599854,,,,,,,,,,,,
2017-01-07,1548600006,3097200012,,,,,,,,,,,,
2017-01-07,8230000305,3048099976,,,,,,,,,,,,
2017-01-07,2237000084,29825,,,,,,,,,,,,
2017-01-08,1770000076,294980011,,,,,,,,,,,,
2017-01-08,9027999878,2884200134,,,,,,,,,,,,
2017-01-08,1311699982,2851400146,,,,,,,,,,,,
2017-01-08,9054000092,2785899963,,,,,,,,,,,,
2017-01-08,8258999634,2753099976,,,,,,,,,,,,
2017-01-09,-1713999939,2720299988,,,,,,,,,,,,
2017-01-11,2364999962,2687600098,,,,,,,,,,,,
2017-01-11,7341999817,2622000122,,,,,,,,,,,,
2017-01-11,1130699997,2458099976,,,,,,,,,,,,
2017-01-11,2457999992,32775,,,,,,,,,,,,
2017-01-11,-9733999634,3244700012,,,,,,,,,,,,
2017-01-12,-4255799866,3212000122,,,,,,,,,,,,
2017-01-12,1526000061,3179200134,,,,,,,,,,,,
2017-01-12,1510299988,3146400146,,,,,,,,,,,,
2017-01-12,6227000046,3113599854,,,,,,,,,,,,
2017-01-12,35,3097200012,,,,,,,,,,,,
2017-01-13,5729999924,3048099976,,,,,,,,,,,,
2017-01-13,1431600037,29825,,,,,,,,,,,,
2017-01-13,1356900024,294980011,,,,,,,,,,,,
2017-01-13,1326699982,2884200134,,,,,,,,,,,,
2017-01-14,1197600021,2851400146,,,,,,,,,,,,
2017-01-14,3147999954,2785899963,,,,,,,,,,,,
2017-01-14,8616999817,2753099976,,,,,,,,,,,,
2017-01-15,1305800018,2720299988,,,,,,,,,,,,
2017-01-16,0,2687600098,,,,,,,,,,,,
2017-01-16,-3075,1151800003,,,,,,,,,,,,
2017-01-16,-1227300034,7918000031,,,,,,,,,,,,
2017-01-17,3359999847,96,,,,,,,,,,,,
2017-01-17,2469000053,7598000336,,,,,,,,,,,,
2017-01-18,9100000381,91,,,,,,,,,,,,
2017-01-18,-2175,87,,,,,,,,,,,,
2017-01-18,6150000095,82,,,,,,,,,,,,
2017-01-18,2240999985,7468000031,,,,,,,,,,,,
2017-01-18,2523999977,9015000153,,,,,,,,,,,,
2017-01-18,305699997,1175800018,,,,,,,,,,,,
2017-01-19,460699997,9598000336,,,,,,,,,,,,
2017-01-19,-1847799988,2639700012,,,,,,,,,,,,
2017-01-19,3875,1139700012,,,,,,,,,,,,
2017-01-20,-3650000095,6399000168,,,,,,,,,,,,
2017-01-20,3822999954,7966000366,,,,,,,,,,,,
2017-01-20,1293500061,2939700012,,,,,,,,,,,,
2017-01-20,1322899933,2699700012,,,,,,,,,,,,
2017-01-20,7604000092,2249799957,,,,,,,,,,,,
2017-01-20,8112999725,1763699951,,,,,,,,,,,,
2017-01-20,4352000046,1673699951,,,,,,,,,,,,
2017-01-21,6877999878,1637700043,,,,,,,,,,,,
2017-01-21,4049000168,1619700012,,,,,,,,,,,,
2017-01-22,2093000031,1395,,,,,,,,,,,,
2017-01-22,1219999981,1079700012,,,,,,,,,,,,
2017-01-22,1271000004,1125,,,,,,,,,,,,
2017-01-22,7760000229,5540999985,,,,,,,,,,,,
2017-01-22,1013899994,2999700012,,,,,,,,,,,,
2017-01-23,-2850700073,1781699982,,,,,,,,,,,,
2017-01-23,4274000168,1709700012,,,,,,,,,,,,
2017-01-24,493199997,1700700073,,,,,,,,,,,,
2017-01-24,8033999634,1673699951,,,,,,,,,,,,
2017-01-25,-2669000053,1637700043,,,,,,,,,,,,
2017-01-25,-1173300018,1529700012,,,,,,,,,,,,
2017-01-26,4788000107,1529700012,,,,,,,,,,,,
2017-01-26,72,150,,,,,,,,,,,,
2017-01-26,2994000053,1151699982,,,,,,,,,,,,
2017-01-27,2346999931,144,,,,,,,,,,,,
2017-02-01,6840000153,1425,,,,,,,,,,,,
2017-02-02,4365999985,1395,,,,,,,,,,,,
2017-02-02,1319999981,132,,,,,,,,,,,,
2017-02-03,4620000076,132,,,,,,,,,,,,
2017-02-04,1043999958,1305,,,,,,,,,,,,
2017-02-04,1556000042,1245,,,,,,,,,,,,
2017-02-04,3286000061,9958000183,,,,,,,,,,,,
2017-02-04,9600000381,240,,,,,,,,,,,,
2017-02-05,5509000015,1899499969,,,,,,,,,,,,
2017-02-05,6858999634,1889499969,,,,,,,,,,,,
2017-02-05,5197999954,23625,,,,,,,,,,,,
2017-02-05,-2362999916,23625,,,,,,,,,,,,
2017-02-05,6688999939,1365,,,,,,,,,,,,
2017-02-06,1146000004,1819499969,,,,,,,,,,,,
2017-02-06,225,225,,,,,,,,,,,,
2017-02-07,675,225,,,,,,,,,,,,
2017-02-07,7827999878,1739600067,,,,,,,,,,,,
2017-02-07,1044000015,2175,,,,,,,,,,,,
2017-02-08,4784999847,2175,,,,,,,,,,,,
2017-02-08,4418999863,1699600067,,,,,,,,,,,,
2017-02-09,85,2125,,,,,,,,,,,,
2017-02-09,8398000336,1679600067,,,,,,,,,,,,
2017-02-09,7013999939,2075,,,,,,,,,,,,
2017-02-10,7262999725,2075,,,,,,,,,,,,
